"uuid";"sendervat";"sendername";"recipientvat";"recipientname";"documentid";"issuedate";"receiveddate"
"e5b1c231-549d-4b00-8bea-ffb38dec92b9";"IT00155400351";"CDD S.P.A.";"IT01402600207";"GHEDA MANGIMI S.R.L.";"00373/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:29"
"e5b1d817-dc8f-44a3-b6c5-aee55e5bbabe";"IT00155400351";"CDD S.P.A.";"IT03000640163";"CONAD SI.RO SRL";"00612/V1";"2019-01-31 00:00:00";"2019-02-04 18:06:31"
"e5de0185-90e4-49c2-84cf-2bc58a0b4172";"IT00155400351";"CDD S.P.A.";"IT00876120213";"CHEF EXPRESS S.P.A.";"00431/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:13"
"e6136926-e790-41a0-a16f-b2a7748ef759";"IT00155400351";"CDD S.P.A.";"IT02795150362";"CENTRALE ADRIATICA SOC.COOP.";"00041/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:05"
"e66eeafa-ab98-4872-bd08-21d05682478a";"IT00155400351";"CDD S.P.A.";"IT04916380159";"ESSELUNGA S.P.A.";"00703/V1";"2019-02-09 00:00:00";"2019-02-15 11:47:50"
"e7042ba3-1b0c-457b-84a3-9c462c5ea1ba";"IT00155400351";"CDD S.P.A.";"IT01274580248";"UNICOMM S.R.L.";"00450/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:44"
"e71def1c-24fb-41df-80da-a6319bbe0834";"IT00155400351";"CDD S.P.A.";"IT02795150362";"CENTRALE ADRIATICA SOC.COOP.";"07511/V1";"2018-12-28 00:00:00";"2019-01-07 12:02:03"
"e74ae91f-c2ed-4b38-b1aa-b37817e22ee6";"IT00155400351";"CDD S.P.A.";"IT05389641001";"MAIORANA MAGGIORINO S.P.A.";"00595/V1";"2019-01-31 00:00:00";"2019-02-04 18:07:30"
"e7ce17b3-de06-48dc-86b9-caf377629ff2";"IT00155400351";"CDD S.P.A.";"IT04343560480";"DOLCEZZE SAVINI S.R.L.";"07525/V1";"2018-12-31 00:00:00";"2019-01-11 12:18:01"
"e7d7539b-b4ca-4957-b462-dfc65a2fc9c6";"IT00155400351";"CDD S.P.A.";"IT10748740015";"RISPARMIO CASA NORD OVEST S.R.L.";"00513/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:20"
"e89583a1-a70b-4651-9abc-cda2a292faef";"IT00155400351";"CDD S.P.A.";"IT02250130354";"CATTANI DANIELE";"00029/V4";"2019-02-06 00:00:00";"2019-02-15 11:46:24"
"e8eb249c-f7a3-4f71-b8fa-89647ecf3b74";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00460/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:36"
"e910fe8b-125d-4946-9978-7b94b7be1d54";"IT00155400351";"CDD S.P.A.";"IT08970540152";"SMA S.P.A.";"00215/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:30"
"e915c7f3-6492-4bd6-81a9-6008c4a6b528";"IT00155400351";"CDD S.P.A.";"IT02358130355";"EMILIA DISTRIBUZIONE SRL A SOCIO UNICO";"00780/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:28"
"e99596b5-15e4-41e5-9064-73847c964838";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00666/V1";"2019-02-09 00:00:00";"2019-02-15 11:47:33"
"ea19794b-7c20-4065-ae84-0bba2c09b71d";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00500/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:45"
"ea47d831-3d16-4a8a-81c5-bf4af46395a9";"IT00155400351";"CDD S.P.A.";"IT03720790926";"GEST DRUG S.R.L.";"00535/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:25"
